id,temperatura,pressao,altitude,umidade,co2,poeira,tempo_registro
1,24.08,93212.06,753.57,64.0,,0.0,2024-10-29 18:58:39
2,24.12,93208.42,753.89,64.0,,0.0,2024-10-29 18:59:09
3,23.94,93213.88,753.41,64.0,,0.0,2024-10-29 18:59:39
4,24.01,93203.15,754.36,64.0,,0.0,2024-10-29 19:00:09
5,24.03,93204.41,754.37,64.0,,0.0,2024-10-29 19:00:39
6,24.04,93203.2,754.36,64.0,,0.0,2024-10-29 19:01:09
7,23.97,93206.88,754.03,63.0,,0.0,2024-10-29 19:01:39
8,23.78,93207.27,754.0,63.0,,0.0,2024-10-29 19:02:09
9,23.73,93208.98,753.84,63.0,,0.0,2024-10-29 19:02:39
10,23.81,93210.62,753.7,63.0,,0.0,2024-10-29 19:03:39
11,23.75,93214.3,753.37,63.0,,0.0,2024-10-29 19:04:09
12,23.7,93211.66,753.6,62.0,,0.0,2024-10-29 19:04:39
13,23.64,93211.72,753.6,62.0,,0.0,2024-10-29 19:05:09
14,23.55,93212.1,753.56,62.0,,0.0,2024-10-29 19:05:39
15,23.71,93218.2,753.02,62.0,,0.0,2024-10-29 19:06:09
16,23.58,93217.05,753.12,62.0,,0.0,2024-10-29 19:06:40
17,23.56,93214.28,753.37,61.0,,0.0,2024-10-29 19:07:09
18,23.58,93218.58,752.99,61.0,,0.0,2024-10-29 19:07:40
19,23.54,93215.48,753.26,61.0,,0.0,2024-10-29 19:08:09
20,23.54,93216.06,753.21,61.0,,0.0,2024-10-29 19:08:40
21,23.54,93222.34,752.65,61.0,,0.0,2024-10-29 19:09:10
22,23.5,93217.91,753.05,61.0,,0.0,2024-10-29 19:09:40
23,23.45,93219.58,752.87,60.0,,0.0,2024-10-29 19:10:10
24,23.43,93222.25,752.66,60.0,,0.0,2024-10-29 19:10:40
25,23.45,93221.38,752.74,60.0,,0.0,2024-10-29 19:11:10
26,23.3,93218.11,753.03,60.0,,0.0,2024-10-29 19:11:40
27,23.47,93220.08,752.86,60.0,,0.0,2024-10-29 19:12:10
28,23.38,93217.55,753.08,59.0,,0.0,2024-10-29 19:12:40
29,23.38,93217.22,753.11,59.0,,0.0,2024-10-29 19:13:10
30,23.34,93213.44,753.45,59.0,,0.0,2024-10-29 19:13:40
31,23.26,93217.19,753.11,59.0,,0.0,2024-10-29 19:14:10
32,23.33,93221.52,752.73,59.0,,0.0,2024-10-29 19:14:40
33,23.16,93218.25,753.02,59.0,,0.0,2024-10-29 19:15:09
34,23.24,93221.88,752.7,59.0,,0.0,2024-10-29 19:15:39
35,23.18,93219.88,752.87,59.0,,0.0,2024-10-29 19:16:09
36,23.23,93220.52,752.82,59.0,,0.0,2024-10-29 19:16:39
37,23.19,93219.64,752.89,58.0,,0.0,2024-10-29 19:17:09
38,22.95,93223.29,752.57,58.0,,0.0,2024-10-29 19:18:10
39,22.88,93223.36,752.56,58.0,,0.0,2024-10-29 19:18:40
40,22.86,93223.81,752.52,58.0,,0.0,2024-10-29 19:19:10
41,22.83,93223.61,752.54,58.0,,0.0,2024-10-29 19:19:40
42,22.91,93223.58,752.54,58.0,,0.0,2024-10-29 19:20:10
43,22.85,93226.84,752.25,58.0,,0.0,2024-10-29 19:20:40
44,22.8,93227.88,752.16,58.0,,0.0,2024-10-29 19:21:10
45,22.89,93225.12,752.41,58.0,,0.0,2024-10-29 19:21:40
46,22.86,93223.34,752.56,58.0,,0.0,2024-10-29 19:22:10
47,22.8,93227.58,752.19,58.0,,0.0,2024-10-29 19:22:40
48,22.69,93229.66,752.0,58.0,,0.0,2024-10-29 19:23:10
49,22.72,93224.39,752.54,58.0,,0.0,2024-10-29 19:23:40
50,22.78,93226.06,752.32,58.0,,0.0,2024-10-29 19:24:10
51,22.77,93229.42,752.02,58.0,,0.0,2024-10-29 19:24:40
52,22.75,93227.41,752.2,58.0,,0.0,2024-10-29 19:25:10
53,22.7,93224.57,752.46,57.0,,0.0,2024-10-29 19:25:40
54,22.74,93228.99,752.06,57.0,,0.0,2024-10-29 19:26:10
55,22.6,93230.55,751.92,57.0,,0.0,2024-10-29 19:26:40
56,22.58,93230.7,751.84,57.0,,0.0,2024-10-29 19:27:10
57,22.63,93233.56,751.66,57.0,,0.0,2024-10-29 19:27:40
58,22.66,93232.06,751.79,57.0,,0.0,2024-10-29 19:28:11
59,22.71,93230.84,751.9,57.0,,0.0,2024-10-29 19:28:41
60,22.75,93228.41,752.11,57.0,,0.0,2024-10-29 19:29:10
61,22.59,93228.13,752.14,57.0,,0.0,2024-10-29 19:29:40
62,22.61,93228.47,752.11,56.0,,0.0,2024-10-29 19:30:11
63,22.69,93226.11,752.32,56.0,,0.0,2024-10-29 19:30:41
64,22.59,93226.03,752.33,56.0,,0.0,2024-10-29 19:31:11
65,22.58,93226.13,752.32,56.0,,0.0,2024-10-29 19:31:41
66,22.69,93227.53,752.19,56.0,,0.0,2024-10-29 19:32:11
67,22.65,93231.12,751.87,56.0,,0.0,2024-10-29 19:32:41
68,22.59,93231.78,751.81,56.0,,0.0,2024-10-29 19:33:11
69,22.6,93231.2,751.87,55.0,,0.0,2024-10-29 19:33:41
70,22.52,93233.29,751.68,55.0,,0.0,2024-10-29 19:34:11
71,22.61,93237.16,751.34,55.0,,0.0,2024-10-29 19:34:41
72,22.55,93236.81,751.37,55.0,,0.0,2024-10-29 19:35:11
73,22.49,93238.85,751.19,55.0,,0.0,2024-10-29 19:35:41
74,22.55,93238.61,751.21,55.0,,0.0,2024-10-29 19:36:11
75,22.38,93233.64,751.65,54.0,,0.0,2024-10-29 19:36:41
76,22.41,93235.2,751.51,55.0,,0.0,2024-10-29 19:37:11
77,22.47,93230.87,751.9,54.0,,0.0,2024-10-29 19:37:41
78,22.41,93235.06,751.52,54.0,,0.0,2024-10-29 19:38:11
79,22.37,93234.22,751.6,54.0,,0.0,2024-10-29 19:38:41
80,22.5,93236.36,751.41,54.0,,0.0,2024-10-29 19:39:11
81,22.51,93233.81,751.63,54.0,,0.0,2024-10-29 19:39:41
82,22.4,93238.23,751.24,54.0,,0.0,2024-10-29 19:40:11
83,22.44,93236.32,751.41,54.0,,0.0,2024-10-29 19:40:41
84,22.42,93234.51,751.57,54.0,,0.0,2024-10-29 19:41:11
85,22.27,93235.48,751.48,53.0,,0.0,2024-10-29 19:41:41
86,22.32,93237.01,751.35,53.0,,0.0,2024-10-29 19:42:11
87,22.23,93237.42,751.31,53.0,,0.0,2024-10-29 19:42:41
88,22.24,93238.09,751.25,53.0,,0.0,2024-10-29 19:43:11
89,22.3,93238.0,751.26,53.0,,0.0,2024-10-29 19:43:41
90,22.25,93241.5,750.95,53.0,,0.0,2024-10-29 19:44:11
91,22.25,93241.45,750.95,53.0,,0.0,2024-10-29 19:44:41
92,22.23,93245.85,750.56,53.0,,0.0,2024-10-29 19:45:11
93,22.28,93240.74,751.02,53.0,,0.0,2024-10-29 19:45:41
94,22.26,93245.5,750.59,53.0,,0.0,2024-10-29 19:46:12
95,22.25,93246.05,750.55,53.0,,0.0,2024-10-29 19:46:42
96,22.15,93245.65,750.58,53.0,,0.0,2024-10-29 19:47:12
97,22.14,93248.14,750.36,53.0,,0.0,2024-10-29 19:47:42
98,22.12,93249.78,750.21,53.0,,0.0,2024-10-29 19:48:12
99,22.11,93249.38,750.25,53.0,,0.0,2024-10-29 19:48:42
100,22.15,93252.86,749.94,53.0,,0.0,2024-10-29 19:49:12
101,22.12,93251.75,750.04,53.0,,0.0,2024-10-29 19:49:42
102,22.09,93254.3,749.81,53.0,,0.0,2024-10-29 19:50:12
103,22.03,93250.66,750.14,52.0,,0.0,2024-10-29 19:50:42
104,22.11,93254.41,749.8,52.0,,0.0,2024-10-29 19:51:12
105,22.04,93255.42,749.71,52.0,,0.0,2024-10-29 19:51:42
106,22.07,93259.77,749.33,52.0,,0.0,2024-10-29 19:52:12
107,22.04,93257.39,749.54,52.0,,0.0,2024-10-29 19:52:42
108,22.04,93259.05,749.39,52.0,,0.0,2024-10-29 19:53:12
109,22.01,93259.09,749.39,52.0,,0.0,2024-10-29 19:53:42
110,21.93,93256.11,749.65,52.0,,0.0,2024-10-29 19:54:12
111,22.08,93257.64,749.51,52.0,,0.0,2024-10-29 19:54:42
112,22.03,93257.66,749.51,52.0,,0.0,2024-10-29 19:55:12
113,22.0,93260.33,749.28,52.0,,0.0,2024-10-29 19:55:42
114,21.85,93263.2,749.02,52.0,,0.0,2024-10-29 19:56:12
115,21.89,93265.06,748.85,52.0,,0.0,2024-10-29 19:56:42
116,21.9,93269.27,748.48,52.0,,0.0,2024-10-29 19:57:12
117,21.85,93267.3,748.66,52.0,,0.0,2024-10-29 19:57:42
118,21.87,93269.39,748.47,52.0,,0.0,2024-10-29 19:58:12
119,21.93,93270.45,748.38,52.0,,0.0,2024-10-29 19:58:42
120,21.9,93268.94,748.51,52.0,,0.0,2024-10-29 19:59:12
121,21.71,93270.38,748.38,52.0,,0.0,2024-10-29 19:59:42
122,21.73,93270.26,748.39,52.0,,0.0,2024-10-29 20:00:16
123,21.85,93270.4,748.38,52.0,,0.0,2024-10-29 20:00:46
124,21.83,93271.02,748.32,52.0,,0.0,2024-10-29 20:01:16
125,21.9,93272.95,748.15,51.0,,0.0,2024-10-29 20:01:46
126,21.8,93274.81,747.99,51.0,,0.0,2024-10-29 20:02:16
127,21.78,93269.59,748.45,51.0,,0.0,2024-10-29 20:02:46
128,21.73,93275.0,747.97,51.0,,0.0,2024-10-29 20:03:16
129,21.73,93272.52,748.19,51.0,,0.0,2024-10-29 20:03:46
130,21.71,93275.64,747.91,51.0,,0.0,2024-10-29 20:04:16
131,21.73,93276.62,747.83,51.0,,0.0,2024-10-29 20:04:46
132,21.76,93276.05,747.88,51.0,,0.0,2024-10-29 20:05:16
133,21.8,93275.36,747.94,51.0,,0.0,2024-10-29 20:05:46
134,21.72,93272.5,748.19,51.0,,0.0,2024-10-29 20:06:16
135,21.74,93269.66,748.45,51.0,,0.0,2024-10-29 20:06:46
136,21.73,93269.75,748.44,51.0,,0.0,2024-10-29 20:07:16
137,21.58,93272.3,748.21,51.0,,0.0,2024-10-29 20:07:46
138,21.62,93269.53,748.46,51.0,,0.0,2024-10-29 20:08:16
139,21.7,93267.69,748.62,51.0,,0.0,2024-10-29 20:08:46
140,21.68,93266.14,748.76,51.0,,0.0,2024-10-29 20:09:16
141,21.75,93267.31,748.65,51.0,,0.0,2024-10-29 20:09:46
142,21.75,93259.48,749.35,51.0,,0.0,2024-10-29 20:10:16
143,21.67,93262.84,749.05,51.0,,0.0,2024-10-29 20:10:46
144,21.76,93263.16,749.02,51.0,,0.0,2024-10-29 20:11:16
145,21.74,93263.61,748.98,51.0,,0.0,2024-10-29 20:11:46
146,21.68,93260.77,749.24,50.0,,0.0,2024-10-29 20:12:16
147,21.71,93260.21,749.29,50.0,,0.0,2024-10-29 20:12:46
148,21.65,93261.19,749.2,50.0,,0.0,2024-10-29 20:13:16
149,21.64,93260.56,749.25,50.0,,0.0,2024-10-29 20:13:46
150,21.65,93259.91,749.31,50.0,,0.0,2024-10-29 20:14:16
151,21.65,93263.8,748.97,50.0,,0.0,2024-10-29 20:14:46
152,21.63,93264.3,748.92,50.0,,0.0,2024-10-29 20:15:16
153,21.58,93262.84,749.05,50.0,,0.0,2024-10-29 20:15:46
154,21.57,93264.08,748.94,50.0,,0.0,2024-10-29 20:16:17
155,21.53,93267.42,748.65,50.0,,0.0,2024-10-29 20:16:47
156,21.57,93266.8,748.7,50.0,,0.0,2024-10-29 20:17:17
157,21.47,93267.46,748.64,50.0,,0.0,2024-10-29 20:17:47
158,21.52,93267.17,748.67,50.0,,0.0,2024-10-29 20:18:17
159,21.54,93266.02,748.77,50.0,,0.0,2024-10-29 20:18:47
160,21.59,93267.31,748.65,50.0,,0.0,2024-10-29 20:19:17
161,21.55,93264.63,748.89,50.0,,0.0,2024-10-29 20:19:47
162,21.41,93268.23,748.57,50.0,,0.0,2024-10-29 20:20:17
163,21.39,93268.36,748.56,50.0,,0.0,2024-10-29 20:20:47
164,21.5,93264.48,748.91,50.0,,0.0,2024-10-29 20:21:17
165,21.48,93264.13,748.94,50.0,,0.0,2024-10-29 20:21:47
166,21.52,93264.5,748.9,50.0,,0.0,2024-10-29 20:22:17
167,21.42,93268.84,748.52,50.0,,0.0,2024-10-29 20:22:47
168,21.47,93270.97,748.33,50.0,,0.0,2024-10-29 20:23:17
169,21.46,93268.52,748.55,50.0,,0.0,2024-10-29 20:23:47
170,21.36,93268.42,748.56,50.0,,0.0,2024-10-29 20:24:17
171,21.36,93267.79,748.61,50.0,,0.0,2024-10-29 20:24:47
172,21.41,93266.91,748.69,50.0,,0.0,2024-10-29 20:25:17
173,21.33,93268.61,748.54,50.0,,0.0,2024-10-29 20:25:47
174,21.36,93268.42,748.56,50.0,,0.0,2024-10-29 20:26:17
175,21.3,93267.99,748.59,50.0,,0.0,2024-10-29 20:26:47
176,21.36,93267.27,748.66,50.0,,0.0,2024-10-29 20:27:17
177,21.4,93269.98,748.42,50.0,,0.0,2024-10-29 20:27:47
178,21.38,93268.41,748.56,50.0,,0.0,2024-10-29 20:28:17
179,21.37,93265.44,748.82,50.0,,0.0,2024-10-29 20:28:47
180,21.37,93267.22,748.66,50.0,,0.0,2024-10-29 20:29:17
181,21.39,93266.77,748.7,50.0,,0.0,2024-10-29 20:29:47
182,21.37,93270.34,748.38,50.0,,0.0,2024-10-29 20:30:17
183,21.39,93271.63,748.27,50.0,,0.0,2024-10-29 20:30:47
184,21.43,93272.05,748.23,50.0,,0.0,2024-10-29 20:31:17
185,21.39,93270.78,748.35,50.0,,0.0,2024-10-29 20:31:47
186,21.32,93272.78,748.17,50.0,,0.0,2024-10-29 20:32:17
187,21.34,93277.05,747.79,50.0,,0.0,2024-10-29 20:32:47
188,21.41,93272.33,748.21,50.0,,0.0,2024-10-29 20:33:17
189,21.46,93273.43,748.11,51.0,,0.0,2024-10-29 20:33:47
190,21.5,93278.41,747.86,51.0,,0.0,2024-10-29 20:34:17
191,21.56,93276.02,747.88,52.0,,0.0,2024-10-29 20:34:47
192,21.61,93274.23,748.04,52.0,,0.0,2024-10-29 20:35:17
193,21.65,93273.78,748.08,52.0,,0.0,2024-10-29 20:35:47
194,21.58,93271.13,748.31,52.0,,0.0,2024-10-29 20:36:17
195,21.53,93273.95,748.06,51.0,,0.0,2024-10-29 20:36:47
196,21.4,93275.66,747.91,51.0,,0.0,2024-10-29 20:37:17
197,21.47,93275.88,747.89,51.0,,0.0,2024-10-29 20:37:47
198,21.47,93275.2,747.95,51.0,,0.0,2024-10-29 20:38:17
199,21.4,93277.02,747.79,51.0,,0.0,2024-10-29 20:38:47
200,21.44,93276.38,747.85,51.0,,0.0,2024-10-29 20:39:17
201,21.35,93284.66,747.11,51.0,,0.0,2024-10-29 20:39:47
202,21.22,93278.52,747.66,51.0,,0.0,2024-10-29 20:40:17
203,21.26,93282.17,747.33,51.0,,0.0,2024-10-29 20:40:47
204,21.28,93281.87,747.36,51.0,,0.0,2024-10-29 20:41:17
205,21.17,93281.83,747.36,51.0,,0.0,2024-10-29 20:41:47
206,21.21,93281.52,747.39,51.0,,0.0,2024-10-29 20:42:17
207,21.24,93282.14,747.34,51.0,,0.0,2024-10-29 20:42:47
208,21.22,93280.67,747.47,51.0,,0.0,2024-10-29 20:43:17
209,21.23,93280.45,747.49,51.0,,0.0,2024-10-29 20:43:47
210,21.29,93279.38,747.58,51.0,,0.0,2024-10-29 20:44:17
211,21.23,93278.12,747.69,51.0,,0.0,2024-10-29 20:44:47
212,21.31,93274.45,748.02,51.0,,0.0,2024-10-29 20:45:17
213,21.33,93277.33,747.76,52.0,,0.0,2024-10-29 20:45:47
214,21.42,93277.31,747.76,52.0,,0.0,2024-10-29 20:46:17
215,21.44,93274.61,748.01,53.0,,0.0,2024-10-29 20:46:47
216,21.44,93276.38,747.85,53.0,,0.0,2024-10-29 20:47:17
217,21.49,93275.84,747.9,53.0,,0.0,2024-10-29 20:47:47
218,21.54,93282.87,747.27,53.0,,0.0,2024-10-29 20:48:18
219,21.44,93276.81,747.81,53.0,,0.0,2024-10-29 20:48:48
220,21.35,93277.44,747.75,53.0,,0.0,2024-10-29 20:49:18
221,21.3,93277.99,747.7,52.0,,0.0,2024-10-29 20:49:48
222,21.36,93275.25,747.95,52.0,,0.0,2024-10-29 20:50:18
223,21.24,93270.89,748.34,52.0,,0.0,2024-10-29 20:50:48
224,21.26,93275.66,747.91,52.0,,0.0,2024-10-29 20:51:18
225,21.24,93270.22,748.4,52.0,,0.0,2024-10-29 20:51:48
226,21.25,93271.84,748.25,52.0,,0.0,2024-10-29 20:52:19
227,21.25,93270.21,748.4,52.0,,0.0,2024-10-29 20:52:49
228,21.21,93270.11,748.41,52.0,,0.0,2024-10-29 20:53:19
229,21.13,93267.73,748.62,52.0,,0.0,2024-10-29 20:53:49
230,21.23,93275.23,747.95,52.0,,0.0,2024-10-29 20:54:19
231,21.18,93273.38,748.11,52.0,,0.0,2024-10-29 20:54:48
232,21.15,93277.97,747.71,52.0,,0.0,2024-10-29 20:55:19
233,21.13,93279.14,747.6,52.0,,0.0,2024-10-29 20:55:49
234,21.15,93283.14,747.25,52.0,,0.0,2024-10-29 20:56:19
235,21.05,93279.23,747.59,52.0,,0.0,2024-10-29 20:56:48
236,20.98,93281.01,747.44,52.0,,0.0,2024-10-29 20:57:18
237,21.02,93282.15,747.34,52.0,,0.0,2024-10-29 20:57:48
238,21.04,93280.45,747.49,52.0,,0.0,2024-10-29 20:58:19
239,21.0,93281.5,747.39,52.0,,0.0,2024-10-29 20:58:48
240,21.05,93286.09,746.98,52.0,,0.0,2024-10-29 20:59:18
241,21.13,93283.17,747.24,53.0,,0.0,2024-10-29 20:59:48
242,21.22,93286.86,746.92,53.0,,0.0,2024-10-29 21:00:18
243,21.24,93288.52,746.77,54.0,,0.0,2024-10-29 21:00:48
244,21.36,93290.45,746.6,54.0,,0.0,2024-10-29 21:01:18
245,21.37,93293.16,746.36,54.0,,0.0,2024-10-29 21:01:49
246,21.38,93292.8,746.39,54.0,,0.0,2024-10-29 21:02:19
247,21.42,93294.83,746.21,54.0,,0.0,2024-10-29 21:02:49
248,21.5,93296.66,746.04,55.0,,0.0,2024-10-29 21:03:19
249,21.52,93296.61,746.05,55.0,,0.0,2024-10-29 21:03:49
250,21.44,93294.72,746.22,54.0,,0.0,2024-10-29 21:04:19
251,21.37,93299.42,745.8,54.0,,0.0,2024-10-29 21:04:49
252,21.31,93292.48,746.42,53.0,,0.0,2024-10-29 21:05:19
253,21.26,93297.7,745.95,53.0,,0.0,2024-10-29 21:05:49
254,21.22,93299.5,745.79,53.0,,0.0,2024-10-29 21:06:19
255,21.23,93295.77,746.12,53.0,,0.0,2024-10-29 21:06:49
256,21.11,93294.34,746.25,53.0,,0.0,2024-10-29 21:07:20
257,21.16,93300.89,745.67,53.0,,0.0,2024-10-29 21:07:50
258,21.2,93302.06,745.57,53.0,,0.0,2024-10-29 21:08:20
259,21.19,93305.69,745.24,53.0,,0.0,2024-10-29 21:08:50
260,21.28,93302.67,745.51,53.0,,0.0,2024-10-29 21:09:20
261,21.27,93304.83,745.32,54.0,,0.0,2024-10-29 21:09:50
262,21.35,93309.31,744.92,55.0,,0.0,2024-10-29 21:10:51
263,21.35,93303.27,745.46,55.0,,0.0,2024-10-29 21:11:21
264,21.43,93302.78,745.5,56.0,,0.0,2024-10-29 21:11:51
265,21.47,93303.98,745.39,56.0,,0.0,2024-10-29 21:12:21
266,21.45,93301.45,745.62,55.0,,0.0,2024-10-29 21:12:51
267,21.43,93303.73,745.42,55.0,,0.0,2024-10-29 21:13:21
268,21.38,93300.8,745.68,55.0,,0.0,2024-10-29 21:13:51
269,21.26,93303.61,745.43,54.0,,0.0,2024-10-29 21:14:21
270,21.21,93297.73,745.95,54.0,,0.0,2024-10-29 21:14:51
271,21.25,93297.94,745.93,54.0,,0.0,2024-10-29 21:15:21
272,21.23,93298.22,745.91,54.0,,0.0,2024-10-29 21:15:51
273,21.3,93301.66,745.6,55.0,,0.0,2024-10-29 21:16:21
274,21.38,93301.92,745.58,55.0,,0.0,2024-10-29 21:16:51
275,21.39,93304.7,745.33,56.0,,0.0,2024-10-29 21:17:21
276,21.43,93305.52,745.26,56.0,,0.0,2024-10-29 21:17:51
277,21.45,93308.86,744.96,56.0,,0.0,2024-10-29 21:18:21
278,21.47,93304.63,745.34,56.0,,0.0,2024-10-29 21:18:51
279,21.52,93309.0,744.95,56.0,,0.0,2024-10-29 21:19:22
280,21.4,93306.41,745.18,55.0,,0.0,2024-10-29 21:19:51
281,21.25,93303.98,745.39,55.0,,0.0,2024-10-29 21:20:21
282,21.3,93308.04,745.03,55.0,,0.0,2024-10-29 21:20:52
283,21.25,93309.59,744.9,55.0,,0.0,2024-10-29 21:21:22
284,21.22,93312.41,744.65,54.0,,0.0,2024-10-29 21:21:52
285,21.1,93308.13,745.03,54.0,,0.0,2024-10-29 21:22:22
286,21.1,93305.2,745.29,54.0,,0.0,2024-10-29 21:22:52
287,21.18,93306.42,745.18,54.0,,0.0,2024-10-29 21:23:22
288,21.16,93307.67,745.07,54.0,,0.0,2024-10-29 21:23:52
289,21.17,93307.02,745.12,55.0,,0.0,2024-10-29 21:24:22
290,21.24,93306.66,745.16,55.0,,0.0,2024-10-29 21:24:52
